comparison,condition_id,direction,left_episode_index,right_episode_index,mae_0_255,nonidentical_channel_fraction,p99_abs_difference,max_abs_difference
within_condition_direction,cosmos_declarative_static32,left,4,6,3.553673804012346,0.7253665123456791,23.0,97
within_condition_direction,cosmos_declarative_static32,left,4,7,3.252938850308642,0.7098765432098766,21.0,109
within_condition_direction,cosmos_declarative_static32,left,4,8,3.1057224151234566,0.7107677469135802,20.0,87
within_condition_direction,cosmos_declarative_static32,left,4,9,3.034340277777778,0.705949074074074,19.0,104
within_condition_direction,cosmos_declarative_static32,left,5,6,3.1280314429012344,0.716201774691358,21.0,113
within_condition_direction,cosmos_declarative_static32,left,5,7,3.035552662037037,0.7062046682098766,21.0,98
within_condition_direction,cosmos_declarative_static32,left,5,8,3.2858439429012347,0.7206992669753086,21.0,111
within_condition_direction,cosmos_declarative_static32,left,5,9,2.4832233796296297,0.6852912808641975,18.0,78
within_condition_direction,cosmos_declarative_static32,left,6,7,2.915925925925926,0.705534336419753,20.0,139
within_condition_direction,cosmos_declarative_static32,left,6,8,3.1551350308641974,0.7120900848765432,21.0,99
within_condition_direction,cosmos_declarative_static32,left,6,9,3.0968798225308642,0.7127980324074074,22.0,93
within_condition_direction,cosmos_declarative_static32,left,7,8,3.011579861111111,0.7075019290123457,19.0,108
within_condition_direction,cosmos_declarative_static32,left,7,9,3.133558063271605,0.709477237654321,22.0,105
within_condition_direction,cosmos_declarative_static32,left,8,9,3.392896412037037,0.7210976080246914,23.0,93
within_condition_direction,cosmos_declarative_static32,right,0,1,3.407577160493827,0.7449652777777778,20.0,94
within_condition_direction,cosmos_declarative_static32,right,0,2,3.4959519675925925,0.7415316358024692,22.0,76
within_condition_direction,cosmos_declarative_static32,right,0,3,3.545052083333333,0.7433777006172839,21.0,106
within_condition_direction,cosmos_declarative_static32,right,0,4,3.3475289351851854,0.7378935185185185,21.0,80
within_condition_direction,cosmos_declarative_static32,right,0,5,3.527325424382716,0.7422260802469136,23.0,98
within_condition_direction,cosmos_declarative_static32,right,0,6,3.495054976851852,0.7405285493827161,21.0,93
within_condition_direction,cosmos_declarative_static32,right,0,7,3.8813898533950617,0.7456182484567901,23.0,120
within_condition_direction,cosmos_declarative_static32,right,0,8,4.006222029320988,0.7474778163580247,20.0,86
within_condition_direction,cosmos_declarative_static32,right,0,9,3.3891560570987656,0.7351774691358025,21.0,80
within_condition_direction,cosmos_declarative_static32,right,1,2,3.4808613040123455,0.7276475694444444,23.0,89
within_condition_direction,cosmos_declarative_static32,right,1,3,3.395704089506173,0.7268238811728395,21.0,131
within_condition_direction,cosmos_declarative_static32,right,1,4,3.3745235339506174,0.7302391975308642,21.0,85
within_condition_direction,cosmos_declarative_static32,right,1,5,3.3827131558641974,0.7193412422839506,23.0,73
within_condition_direction,cosmos_declarative_static32,right,1,6,3.3893778935185184,0.7253134645061728,22.0,91
within_condition_direction,cosmos_declarative_static32,right,1,7,3.527634066358025,0.7238551311728395,23.0,105
within_condition_direction,cosmos_declarative_static32,right,1,8,4.241459297839506,0.7321257716049383,26.0,97
within_condition_direction,cosmos_declarative_static32,right,1,9,3.3317814429012347,0.7273090277777777,21.0,86
within_condition_direction,cosmos_declarative_static32,right,2,3,2.7579176311728397,0.6963425925925926,19.0,91
within_condition_direction,cosmos_declarative_static32,right,2,4,2.9603269675925925,0.6959847608024692,21.0,87
within_condition_direction,cosmos_declarative_static32,right,2,5,2.839938271604938,0.6958796296296297,21.0,99
within_condition_direction,cosmos_declarative_static32,right,2,6,2.7266666666666666,0.6941386959876543,19.0,84
within_condition_direction,cosmos_declarative_static32,right,2,7,3.1633043981481483,0.7099537037037037,22.0,104
within_condition_direction,cosmos_declarative_static32,right,2,8,3.8734953703703705,0.7165364583333333,22.0,84
within_condition_direction,cosmos_declarative_static32,right,2,9,2.717554012345679,0.6916830632716049,18.0,92
within_condition_direction,cosmos_declarative_static32,right,3,4,2.943414351851852,0.7060725308641975,18.0,89
within_condition_direction,cosmos_declarative_static32,right,3,5,2.6971170910493827,0.692710262345679,20.0,120
within_condition_direction,cosmos_declarative_static32,right,3,6,2.675456211419753,0.6930102237654321,19.0,117
within_condition_direction,cosmos_declarative_static32,right,3,7,3.069013310185185,0.7104243827160494,20.0,103
within_condition_direction,cosmos_declarative_static32,right,3,8,3.878095100308642,0.7094029706790124,23.0,160
within_condition_direction,cosmos_declarative_static32,right,3,9,2.621104359567901,0.6935985725308642,18.0,80
within_condition_direction,cosmos_declarative_static32,right,4,5,3.1166541280864197,0.7067544367283951,22.0,94
within_condition_direction,cosmos_declarative_static32,right,4,6,3.0623408564814816,0.7093335262345679,21.0,93
within_condition_direction,cosmos_declarative_static32,right,4,7,3.364813850308642,0.7161053240740741,22.0,102
within_condition_direction,cosmos_declarative_static32,right,4,8,4.0287065972222225,0.7177025462962963,24.0,85
