comparison,label,left_seed,right_seed,cube_centroid_distance_m,bowl_centroid_distance_m,max_object_centroid_distance_m
within_condition_direction,cosmos_contrastive_static32:right,7201,7208,0.0002729575167846423,0.0003662109375,0.0003662109375
within_condition_direction,cosmos_contrastive_static32:right,7201,7209,0.0002729575167846423,0.0007720404443770458,0.0007720404443770458
within_condition_direction,cosmos_contrastive_static32:right,7202,7203,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_contrastive_static32:right,7202,7204,0.0,0.0013647875839232116,0.0013647875839232116
within_condition_direction,cosmos_contrastive_static32:right,7202,7205,0.0,0.000953399618640949,0.000953399618640949
within_condition_direction,cosmos_contrastive_static32:right,7202,7206,0.0,0.000953399618640949,0.000953399618640949
within_condition_direction,cosmos_contrastive_static32:right,7202,7207,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_contrastive_static32:right,7202,7208,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_contrastive_static32:right,7202,7209,0.0,0.0006573687508709111,0.0006573687508709111
within_condition_direction,cosmos_contrastive_static32:right,7203,7204,0.0,0.0015869140625,0.0015869140625
within_condition_direction,cosmos_contrastive_static32:right,7203,7205,0.0,0.0011516090249092533,0.0011516090249092533
within_condition_direction,cosmos_contrastive_static32:right,7203,7206,0.0,0.0011516090249092533,0.0011516090249092533
within_condition_direction,cosmos_contrastive_static32:right,7203,7207,0.0,0.00034526698300124393,0.00034526698300124393
within_condition_direction,cosmos_contrastive_static32:right,7203,7208,0.0,0.00034526698300124393,0.00034526698300124393
within_condition_direction,cosmos_contrastive_static32:right,7203,7209,0.0,0.000781631376639752,0.000781631376639752
within_condition_direction,cosmos_contrastive_static32:right,7204,7205,0.0,0.00048828125,0.00048828125
within_condition_direction,cosmos_contrastive_static32:right,7204,7206,0.0,0.00048828125,0.00048828125
within_condition_direction,cosmos_contrastive_static32:right,7204,7207,0.0,0.001274451478138495,0.001274451478138495
within_condition_direction,cosmos_contrastive_static32:right,7204,7208,0.0,0.001274451478138495,0.001274451478138495
within_condition_direction,cosmos_contrastive_static32:right,7204,7209,0.0,0.0009765625,0.0009765625
within_condition_direction,cosmos_contrastive_static32:right,7205,7206,0.0,0.0,0.0
within_condition_direction,cosmos_contrastive_static32:right,7205,7207,0.0,0.0008188725503539269,0.0008188725503539269
within_condition_direction,cosmos_contrastive_static32:right,7205,7208,0.0,0.0008188725503539269,0.0008188725503539269
