cell_id,phase,layout_pair_id,model_config,layout_arm,command,replicate_id,candidate_effective_policy_seed,action_cap,stop_on_success,selected,status,pose_manifest,forecast_mapping
wmf1__confirmation__C13__N3__reflected__right,confirmation,C13,N3,reflected,right,0,2026091213,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C13__D1__original__left,confirmation,C13,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C13__D1__original__right,confirmation,C13,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C13__D1__reflected__left,confirmation,C13,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C13__D1__reflected__right,confirmation,C13,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__N3__original__left,confirmation,C14,N3,original,left,0,2026091214,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__N3__original__right,confirmation,C14,N3,original,right,0,2026091214,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__N3__reflected__left,confirmation,C14,N3,reflected,left,0,2026091214,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__N3__reflected__right,confirmation,C14,N3,reflected,right,0,2026091214,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__D1__original__left,confirmation,C14,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__D1__original__right,confirmation,C14,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__D1__reflected__left,confirmation,C14,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__D1__reflected__right,confirmation,C14,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__N3__original__left,confirmation,C15,N3,original,left,0,2026091215,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__N3__original__right,confirmation,C15,N3,original,right,0,2026091215,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__N3__reflected__left,confirmation,C15,N3,reflected,left,0,2026091215,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__N3__reflected__right,confirmation,C15,N3,reflected,right,0,2026091215,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__D1__original__left,confirmation,C15,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__D1__original__right,confirmation,C15,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__D1__reflected__left,confirmation,C15,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__D1__reflected__right,confirmation,C15,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__N3__original__left,confirmation,C16,N3,original,left,0,2026091216,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__N3__original__right,confirmation,C16,N3,original,right,0,2026091216,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__N3__reflected__left,confirmation,C16,N3,reflected,left,0,2026091216,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__N3__reflected__right,confirmation,C16,N3,reflected,right,0,2026091216,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__D1__original__left,confirmation,C16,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__D1__original__right,confirmation,C16,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__D1__reflected__left,confirmation,C16,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__D1__reflected__right,confirmation,C16,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C17__N3__original__left,confirmation,C17,N3,original,left,0,2026091217,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C17__N3__original__right,confirmation,C17,N3,original,right,0,2026091217,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C17__N3__reflected__left,confirmation,C17,N3,reflected,left,0,2026091217,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C17__N3__reflected__right,confirmation,C17,N3,reflected,right,0,2026091217,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C17__D1__original__left,confirmation,C17,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C17__D1__original__right,confirmation,C17,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
